node_id,longitude,latitude,gdp,pop,public_administration_services,utility_land,commercial_services,residential_land,industrial_land,green_square_land,road_transportation_land
154,121.2565678,30.83836064,36.31873226,2726,0,0,0.133333333,0.366666667,0.5,0,0
155,121.2745341,30.83836064,9.675993919,1519,0.11627907,0.023255814,0.093023256,0.372093023,0.325581395,0.023255814,0.046511628
156,121.2925004,30.83836064,69.12423897,1302,0,0,0.108108108,0.27027027,0.243243243,0,0.378378378
157,121.3104667,30.83836064,32.00767899,1952,0.032258065,0,0.064516129,0.204301075,0.569892473,0.010752688,0.096774194
158,121.328433,30.83836064,74.07562637,3881,0.078125,0.015625,0.03125,0.21875,0.5,0,0.15625
159,121.3463993,30.83836064,38.99714661,6117,0.107142857,0.008928571,0.017857143,0.107142857,0.660714286,0,0.089285714
160,121.3643656,30.83836064,623.6784611,2190,0.03125,0.03125,0.0625,0.1875,0.25,0.0625,0.375
161,121.3823319,30.83836064,37.3762207,946,0.136363636,0,0.090909091,0.409090909,0.318181818,0,0.045454545
162,121.4002982,30.83836064,12.89998245,798,0.029411765,0,0.088235294,0.294117647,0.529411765,0.029411765,0.029411765
163,121.4182645,30.83836064,447.7034225,5760,0.112,0.005333333,0.256,0.314666667,0.208,0.013333333,0.056
164,121.4362308,30.83836064,47.34769821,5118,0.146067416,0.007490637,0.164794007,0.104868914,0.479400749,0,0.052434457
165,121.4541971,30.83836064,1814.332314,2320,0.037735849,0,0,0.20754717,0.641509434,0.018867925,0.075471698
166,121.4721635,30.83836064,74.23568726,8411,0.183076923,0.006153846,0.332307692,0.203076923,0.158461538,0.010769231,0.041538462
167,121.4901298,30.83836064,124.1735497,6311,0.10543131,0.006389776,0.054313099,0.50798722,0.223642173,0.012779553,0.041533546
168,121.5080961,30.83836064,53.75315094,8357,0.29787234,0.006382979,0.121276596,0.231914894,0.04893617,0.042553191,0.063829787
169,121.5260624,30.83836064,0,12062,0.209255533,0.00804829,0.378269618,0.028169014,0.14889336,0.032193159,0.048289738
170,121.5440287,30.83836064,0,3264,0.3,0,0,0.1,0.15,0,0.4
171,121.561995,30.83836064,0,2278,0.071428571,0.142857143,0,0.357142857,0.142857143,0.071428571,0.142857143
172,121.5799613,30.83836064,0,551,0.142857143,0,0,0.142857143,0.571428571,0,0
173,121.5979276,30.83836064,0,370,0,0,0,0,1,0,0
174,121.6158939,30.83836064,0,214,0,0,0,0,0,1,0
175,121.6338602,30.83836064,0,53,0,0,0,0,0,0,0
176,121.6518265,30.83836064,0,45,0,0,0,0,0,0,0
177,121.6697928,30.83836064,0,0,0,0,0,0,0,0,0
178,121.8135233,30.83836064,0,0,0,0,0,0,0,0,0
179,121.8314896,30.83836064,0,0,0,0,0,0,0,0,0
180,120.9870732,30.85378557,0,8,0,0,0,0,0,0,0
181,121.0050395,30.85378557,12.79304981,433,0,0,0,0.75,0.25,0,0
182,121.0230058,30.85378557,491.2012296,737,0,0,0,0.764705882,0.235294118,0,0
183,121.0409721,30.85378557,208.8835366,853,0,0,0,0.545454545,0.090909091,0,0.363636364
184,121.0589384,30.85378557,53.53575516,1326,0.428571429,0,0.071428571,0,0.071428571,0,0.285714286
185,121.0769047,30.85378557,35.0894928,3456,0.25,0,0.166666667,0.25,0.25,0,0
186,121.094871,30.85378557,433.8647881,1233,0.181818182,0,0.181818182,0.181818182,0.181818182,0,0.272727273
187,121.1128373,30.85378557,7.173609257,598,0,0,0,0.25,0.25,0,0.5
188,121.1308036,30.85378557,101.9068027,755,0,0,0,0,0,0,1
189,121.1487699,30.85378557,20.13088512,872,0,0,0.1,0.3,0,0.2,0.4
190,121.1667363,30.85378557,48.71870613,1394,0.095238095,0,0.095238095,0.333333333,0.333333333,0,0.095238095
191,121.1847026,30.85378557,276.8153477,1575,0,0.03125,0.1875,0.40625,0.28125,0.03125,0.0625
192,121.2026689,30.85378557,33.58569717,1117,0.078947368,0.026315789,0,0.368421053,0.157894737,0.026315789,0.315789474
193,121.2206352,30.85378557,50.92735338,1643,0.105263158,0,0.078947368,0.157894737,0.473684211,0.052631579,0.131578947
194,121.2386015,30.85378557,97.47949886,2139,0,0,0.041666667,0.416666667,0.25,0.083333333,0.208333333
195,121.2565678,30.85378557,253.2383509,798,0.066666667,0,0.166666667,0.3,0.266666667,0,0.133333333
196,121.2745341,30.85378557,15.12333918,845,0.05,0,0.05,0.7,0,0.05,0.15
197,121.2925004,30.85378557,53.11495495,805,0.212765957,0,0.042553191,0.29787234,0.255319149,0.021276596,0.170212766
198,121.3104667,30.85378557,224.5157356,1447,0.0625,0,0,0.6875,0.25,0,0
199,121.328433,30.85378557,599.8476944,7971,0.206002729,0.008185539,0.427012278,0.122783083,0.064120055,0.019099591,0.051841746
200,121.3463993,30.85378557,52.50201416,8387,0.206896552,0.012539185,0.34169279,0.084639498,0.206896552,0.006269592,0.081504702
201,121.3643656,30.85378557,72.30805397,2954,0.157894737,0,0,0.473684211,0,0,0.315789474
202,121.3823319,30.85378557,33.89092588,1672,0.085106383,0,0.212765957,0.170212766,0.446808511,0,0.085106383
203,121.4002982,30.85378557,138.4999104,882,0,0,0.105263158,0.473684211,0.421052632,0,0
204,121.4182645,30.85378557,435.1676464,1847,0.096774194,0.016129032,0.048387097,0.112903226,0.661290323,0.016129032,0.032258065
205,121.4362308,30.85378557,63.79034615,1994,0.042553191,0,0.042553191,0.170212766,0.638297872,0.042553191,0.063829787
206,121.4541971,30.85378557,332.3367462,2125,0.1,0,0.02,0.18,0.58,0,0.12
207,121.4721635,30.85378557,104.8577042,2229,0.2,0,0.033333333,0.3,0.366666667,0,0.1
208,121.4901298,30.85378557,1929.003807,2297,0.021276596,0.021276596,0.063829787,0.106382979,0.595744681,0,0.170212766
209,121.5080961,30.85378557,237.8879318,2750,0.206349206,0,0.121693122,0.222222222,0.216931217,0.074074074,0.058201058
210,121.5260624,30.85378557,468.409565,5483,0.032258065,0.016129032,0.096774194,0.080645161,0.612903226,0.048387097,0.096774194
211,121.5440287,30.85378557,140.031353,2491,0.164383562,0,0.01369863,0.109589041,0.575342466,0,0.136986301
212,121.561995,30.85378557,225.0894852,2712,0.278571429,0.014285714,0.092857143,0.342857143,0.192857143,0.014285714,0.05
213,121.5799613,30.85378557,113.3867092,1248,0,0,0,0,0.888888889,0,0.111111111
214,121.5979276,30.85378557,9.697289467,1069,1,0,0,0,0,0,0
215,121.6158939,30.85378557,10.44741058,585,0,0,0,0.333333333,0.666666667,0,0
216,121.6338602,30.85378557,30.42625618,420,0,0,0,0.666666667,0.333333333,0,0
217,121.6518265,30.85378557,43.62514114,227,0.25,0,0,0.25,0.25,0,0.25
218,121.6697928,30.85378557,0,207,0.4,0,0,0.2,0.2,0,0
219,121.6877591,30.85378557,0,234,0,0,0,1,0,0,0
220,121.7057254,30.85378557,0,570,0.076923077,0.307692308,0.076923077,0.076923077,0.230769231,0,0.153846154
221,121.7236917,30.85378557,0,1794,0.058823529,0.058823529,0,0.117647059,0.764705882,0,0
222,121.741658,30.85378557,0,1416,0,0,0.2,0.4,0.4,0,0
223,121.7596243,30.85378557,21.73896599,832,0,0,0,0,0,0,0
224,121.7775906,30.85378557,5.016267776,786,0,0,0,0.428571429,0.428571429,0,0.142857143
225,121.795557,30.85378557,4.178671598,987,0.153846154,0.076923077,0,0.076923077,0.692307692,0,0
226,121.8135233,30.85378557,0,551,0.05,0,0.05,0.1,0.6,0,0.2
227,121.8314896,30.85378557,0,836,0,0,0,0,0.875,0,0.125
228,121.8494559,30.85378557,0,2243,0.293269231,0.019230769,0.336538462,0.028846154,0.173076923,0.009615385,0.072115385
229,121.8674222,30.85378557,0,15,0,0,0,0,0,0,0
230,121.8853885,30.85378557,0,27,0.235294118,0,0,0,0.647058824,0,0.117647059
231,121.9033548,30.85378557,0,20,0,0,0,0,1,0,0
232,121.9213211,30.85378557,0,3,0.333333333,0,0,0,0.333333333,0,0.333333333
233,121.0050395,30.86920802,0,136,0,0,0,1,0,0,0
234,121.0230058,30.86920802,200.1945114,1738,0,0,0,0.470588235,0.529411765,0,0
235,121.0409721,30.86920802,36.54231262,2156,0,0,0.043478261,0.260869565,0.217391304,0,0.47826087
236,121.0589384,30.86920802,109.9448967,3954,0.16,0.04,0.32,0.04,0.04,0.16,0.24
237,121.0769047,30.86920802,79.1001358,14003,0.252707581,0.028880866,0.433212996,0.050541516,0.072202166,0.018050542,0.086642599
